Unnamed: 0,id,name,language,pull_requests,size,contributors,age,contributor_xp,pr_points
0,157858597,Tyrrrz/YoutubeDownloader,C#,25.0,1074.0,16.0,1855,1.727,3.036
0,131706958,jerry-git/learn-python3,HTML,8.0,1558.0,7.0,1819,1.063,1.635
0,62535969,Hironsan/BossSensor,Python,3.0,29659.0,4.0,849,1.253,2.217
0,5739134,b-ryan/powerline-shell,Python,126.0,478.0,67.0,3665,5.132,6.787
0,32787812,gsdios/SDCycleScrollView,Objective-C,8.0,1973.0,5.0,978,1.148,2.876
0,12004006,hanami/hanami,Ruby,407.0,26619.0,147.0,2778,8.537,7.34
0,14268809,FastLED/FastLED,C++,238.0,15195.0,131.0,3711,3.213,8.57
0,77703410,Perfare/Il2CppDumper,C#,22.0,1083.0,20.0,2225,2.505,7.515
0,16875250,expressjs/session,JavaScript,49.0,690.0,112.0,3633,5.296,16.803
0,101052455,likedan/Awesome-CoreML-Models,Python,26.0,3059.0,13.0,2130,1.869,3.785
0,18981255,slap-editor/slap,JavaScript,80.0,1583.0,15.0,959,1.387,9.86
0,60849305,nfmcclure/tensorflow_cookbook,Jupyter Notebook,58.0,19794.0,17.0,1295,2.841,7.978
0,1647876,pa7/heatmap.js,JavaScript,19.0,1732.0,21.0,2113,1.323,5.29
0,54828252,agronholm/apscheduler,Python,81.0,5474.0,41.0,2871,2.36,5.392
